ConvID_qtmentions,text,ratings
467_2,Hi could you help me find a good movie HI ID LIKE TO HELP YOU FIND A MOVIE YES WHAT KIND DO YOU LIKE I really like @204292 and comedy movies @124485 was funny ,"[(4823, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
470_0,hey there. i was hoping you could help me find a good drama or thriller today? ,"[(79, 0), (1223, 1), (4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
470_1,hey there. i was hoping you could help me find a good drama or thriller today? maybe something like @143198 i liked that a lot Ok great I think I may know some you will like ,"[(1223, 1), (4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
470_2,hey there. i was hoping you could help me find a good drama or thriller today? maybe something like @143198 i liked that a lot Ok great I think I may know some you will like awesome! im not big on things like sci fi like @197111 ,"[(4903, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
558_0,Can you recommend a super hero movie for me? ,"[(2610, 1), (2593, 1), (1067, 1), (1078, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
558_1,"Can you recommend a super hero movie for me? howdy, yes i think i can. Have you seen @85764 That is a little different, but good. ","[(2593, 1), (1067, 1), (1078, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
558_2,"Can you recommend a super hero movie for me? howdy, yes i think i can. Have you seen @85764 That is a little different, but good. Is that one a comedy?  I really enjoyed @78418 no, i isnt a comedy, it has a lot of really good action in it. ","[(1067, 1), (1078, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
558_3,"Can you recommend a super hero movie for me? howdy, yes i think i can. Have you seen @85764 That is a little different, but good. Is that one a comedy?  I really enjoyed @78418 no, i isnt a comedy, it has a lot of really good action in it. or maybe you would like @78340 that is funny I saw that one.  I enjoy ryan reynolds. ","[(1078, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
560_0,"Can you help me find a comedy movie? hi what kinds of movies are your faves yes, comedy is great ","[(5316, 1), (5042, 1), (1542, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
560_2,"Can you help me find a comedy movie? hi what kinds of movies are your faves yes, comedy is great how about something like @157394 or maybe @100030 I have seen the wedding singer, and I really liked it. I haven't seen Friends with Benefits. ","[(1542, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
582_0,Hello? hi can you help me find a grea movie to watch today? I really like mostly anything I can. Any preference for actor? ,"[(3227, 1), (2988, 0), (6555, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
582_1,"Hello? hi can you help me find a grea movie to watch today? I really like mostly anything I can. Any preference for actor? @183056 id my favorite ummm...I like Jeff Bridges and I also like Adam Sandler and Owen Wilson, Paul Giammati ","[(2988, 0), (6555, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
582_2,"Hello? hi can you help me find a grea movie to watch today? I really like mostly anything I can. Any preference for actor? @183056 id my favorite ummm...I like Jeff Bridges and I also like Adam Sandler and Owen Wilson, Paul Giammati What about @81385 ? It's by the Coen brothers as well. ","[(6555, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
582_3,"Hello? hi can you help me find a grea movie to watch today? I really like mostly anything I can. Any preference for actor? @183056 id my favorite ummm...I like Jeff Bridges and I also like Adam Sandler and Owen Wilson, Paul Giammati What about @81385 ? It's by the Coen brothers as well. I don't like Anne Hathaway or movies like @80208 I did see that one and enjoed it very much maybe another like that ","[(3227, 1), (2988, 0), (6555, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
585_0,"Heyyyy what kind of movies are you into Anything in the horror, thriller or mystery genres. Almost anything I should say, lol Sweet, I can help you fund something good I think ","[(5267, 1), (4789, 1), (651, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
585_2,"Heyyyy what kind of movies are you into Anything in the horror, thriller or mystery genres. Almost anything I should say, lol Sweet, I can help you fund something good I think Have you seen @189950 or @124377 ","[(5267, 1), (4789, 1), (651, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
585_4,"Heyyyy what kind of movies are you into Anything in the horror, thriller or mystery genres. Almost anything I should say, lol Sweet, I can help you fund something good I think Have you seen @189950 or @124377 @189950 yes, @124377 no. ","[(651, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
626_0,"Hello, how are you today? Hi. Got any good movie suggestions? What kinds of movies do you like?  Comedy?  Action? Maybe some unusual thriller type movie. ","[(306, 1), (2936, 1), (4304, 1), (62, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
626_1,"Hello, how are you today? Hi. Got any good movie suggestions? What kinds of movies do you like?  Comedy?  Action? Maybe some unusual thriller type movie. I liked @124848 for example. ","[(2936, 1), (4304, 1), (62, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
626_2,"Hello, how are you today? Hi. Got any good movie suggestions? What kinds of movies do you like?  Comedy?  Action? Maybe some unusual thriller type movie. I liked @124848 for example. Have you seen @165484 ?  It is pretty entertaining I don't think I have. Who's in it? It's on Netflix now, no big actors in it specifically but it's a good combination of scary and funny. You could also try @Gone Girl ","[(4304, 1), (62, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
626_3,"Hello, how are you today? Hi. Got any good movie suggestions? What kinds of movies do you like?  Comedy?  Action? Maybe some unusual thriller type movie. I liked @124848 for example. Have you seen @165484 ?  It is pretty entertaining I don't think I have. Who's in it? It's on Netflix now, no big actors in it specifically but it's a good combination of scary and funny. You could also try @Gone Girl @112719 ","[(62, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_0,HI. What's your taste? ,"[(3411, 1), (2984, 1), (5270, 1), (4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_1,HI. What's your taste? My favorite movie is @95893. ,"[(2984, 1), (5270, 1), (4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_2,HI. What's your taste? My favorite movie is @95893. That's great. What about @147934 ? ,"[(5270, 1), (4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_3,HI. What's your taste? My favorite movie is @95893. That's great. What about @147934 ? I also really enjoy @145728 . I love Bladerunner. ,"[(4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_4,HI. What's your taste? My favorite movie is @95893. That's great. What about @147934 ? I also really enjoy @145728 . I love Bladerunner. The best movie in recent years is @157190 What is your favorite movie of all time? ,"[(3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_5,HI. What's your taste? My favorite movie is @95893. That's great. What about @147934 ? I also really enjoy @145728 . I love Bladerunner. The best movie in recent years is @157190 What is your favorite movie of all time? @187310 I love that movie. I saw it in theaters when I was twelve. Did you see @arrival? Have you ever seen @180527 ? No I have not ,"[(4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
654_6,HI. What's your taste? My favorite movie is @95893. That's great. What about @147934 ? I also really enjoy @145728 . I love Bladerunner. The best movie in recent years is @157190 What is your favorite movie of all time? @187310 I love that movie. I saw it in theaters when I was twelve. Did you see @arrival? Have you ever seen @180527 ? No I have not @157190 ? Who is in it? Yeah I saw that. Only the first one was good. ,"[(4748, 1), (3382, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
786_0,"hi I'm looking for a good movie. Any suggestions? sure, what genre are you looking for? something with suspense. Thrillers, psych dramas. ","[(3473, 1), (5874, 1), (4056, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
786_1,"hi I'm looking for a good movie. Any suggestions? sure, what genre are you looking for? something with suspense. Thrillers, psych dramas. Have you seen @81135 ? It's set up like a horror by it messes with your mind pretty good. ","[(5874, 1), (4056, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
786_2,"hi I'm looking for a good movie. Any suggestions? sure, what genre are you looking for? something with suspense. Thrillers, psych dramas. Have you seen @81135 ? It's set up like a horror by it messes with your mind pretty good. It reminds me of @181028 I have not seen either of those. :( ","[(4056, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
788_0,Hello ,"[(4836, 1), (2955, 1), (5401, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
788_1,Hello Have you seen @121902 ? Hi there! No I have not. Is that the genre of film you're looking for? It's good It's a documentary I also like comedies ,"[(2955, 1), (5401, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
788_2,Hello Have you seen @121902 ? Hi there! No I have not. Is that the genre of film you're looking for? It's good It's a documentary I also like comedies Like @154993 . Have you seen it? I have. I loved it. :) Bill Murray is the best He really is. Do you have a recommendation? ,"[(5401, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
793_0,Hello I love comedy movies hi there. Are you a bill murray fan? Yes I am He is hilarious ,"[(5401, 1), (4155, 1), (5478, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
793_2,Hello I love comedy movies hi there. Are you a bill murray fan? Yes I am He is hilarious Good! I have 2 to recommend. @190543 and @154993  would be perfect for you. I will check both of those out ,"[(5478, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
872_0,"hi there Hello, how are you doing today? need any suggestions? I was wondering if you have seen any good action movies lately? i am good thanks hmmm action...let me think ","[(4851, 0), (3825, 1), (1178, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
872_1,"hi there Hello, how are you doing today? need any suggestions? I was wondering if you have seen any good action movies lately? i am good thanks hmmm action...let me think I really liked @119144 ","[(3825, 1), (1178, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
872_2,"hi there Hello, how are you doing today? need any suggestions? I was wondering if you have seen any good action movies lately? i am good thanks hmmm action...let me think I really liked @119144 no as much of a fan of @122278 ","[(1178, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
872_4,"hi there Hello, how are you doing today? need any suggestions? I was wondering if you have seen any good action movies lately? i am good thanks hmmm action...let me think I really liked @119144 no as much of a fan of @122278 I saw @170305 and @117241 and those were awesome! Did you see them? ","[(4851, 0), (3825, 1), (1178, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
872_5,"hi there Hello, how are you doing today? need any suggestions? I was wondering if you have seen any good action movies lately? i am good thanks hmmm action...let me think I really liked @119144 no as much of a fan of @122278 I saw @170305 and @117241 and those were awesome! Did you see them? Ah, @119144 was fantastic! Gal was perfect for the role ","[(1178, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
879_0,Hi Hi Could you help me find a good comedy or drama to wach? ,"[(6199, 0), (1542, 1), (4805, 1), (473, 0), (4239, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
879_2,Hi Hi Could you help me find a good comedy or drama to wach? Not like @194583 more like @141928 ,"[(4805, 1), (473, 0), (4239, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
879_3,"Hi Hi Could you help me find a good comedy or drama to wach? Not like @194583 more like @141928 I see, so something like @138962 may not suffice? I did see that and I liked it a lot! ","[(473, 0), (4239, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
879_4,"Hi Hi Could you help me find a good comedy or drama to wach? Not like @194583 more like @141928 I see, so something like @138962 may not suffice? I did see that and I liked it a lot! What about @154848 with Morgan FReeman? ","[(4239, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
891_0,Hello. Can you recommend a good action flick this evening? ,"[(1082, 1), (2678, 1), (3834, 1), (376, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
891_1,"Hello. Can you recommend a good action flick this evening? Sure! Might I suggest @177160 It's a great movie. A Bit long, but still good I want to see that but the gf doesn't, lol ","[(2678, 1), (3834, 1), (376, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
891_2,"Hello. Can you recommend a good action flick this evening? Sure! Might I suggest @177160 It's a great movie. A Bit long, but still good I want to see that but the gf doesn't, lol so I guess @169419 is out of the question too then? Pretty much. ","[(3834, 1), (376, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
891_3,"Hello. Can you recommend a good action flick this evening? Sure! Might I suggest @177160 It's a great movie. A Bit long, but still good I want to see that but the gf doesn't, lol so I guess @169419 is out of the question too then? Pretty much. Well.......How about @111540 ? It's not in theaters, it's on DVD but it's still a great movie. It's a war drama lol, no go either ?? Well what kind of action movies does she like? ","[(376, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
894_0,Hey there Mind helping me find a movie? hi sure what genre are you interested in? I like mostly everything. I especially enjoy horror and thriller ,"[(6483, 1), (5919, 1), (2293, 1), (2144, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
894_1,Hey there Mind helping me find a movie? hi sure what genre are you interested in? I like mostly everything. I especially enjoy horror and thriller Okay. Have you seen @204419 ? ,"[(5919, 1), (2293, 1), (2144, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
894_3,Hey there Mind helping me find a movie? hi sure what genre are you interested in? I like mostly everything. I especially enjoy horror and thriller Okay. Have you seen @204419 ? I have seen most of the classics like @127676 and @97819 I did see that one already! Not as great as the rest I don't think ,"[(2144, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
947_0,hey how is it going ,"[(5211, 1), (537, 1), (5806, 1), (4444, 1), (2347, 1), (326, 1), (3764, 1), (4132, 1), (1492, 1), (3312, 1), (1397, 1), (2162, 1), (4948, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
947_1,"hey how is it going Hi, I'm looking for some comedy/ romantic comedies  like @155989 I love Adam Sandler that is one of my favorites!! I will suggest some good ones Thank you I'd love to hear some! ","[(537, 1), (5806, 1), (4444, 1), (2347, 1), (326, 1), (3764, 1), (4132, 1), (1492, 1), (3312, 1), (1397, 1), (2162, 1), (4948, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]"
